new_field,resdnts,workers,popltn_,hosh_ncm_
Brooklyn Navy Yard,14868.000000000000000,11546.000000000000000,40858.000000000000000,1296934400.000000000000000
Astoria,34071.000000000000000,17246.000000000000000,65720.000000000000000,3106952200.000000000000000
Roosevelt Island,13142.000000000000000,28829.000000000000000,32546.000000000000000,3234856700.000000000000000
Long Island City,17506.000000000000000,27727.000000000000000,27029.000000000000000,2392861200.000000000000000
Atlantic Ave/BBP Pier 6,33318.000000000000000,183280.000000000000000,64407.000000000000000,6952706100.000000000000000
Red Hook,6332.000000000000000,7066.000000000000000,13920.000000000000000,574660100.000000000000000
BAT/Sunset Park,10228.000000000000000,21372.000000000000000,27947.000000000000000,685294200.000000000000000
Rockaway,7482.000000000000000,4302.000000000000000,22998.000000000000000,641787900.000000000000000
Bay Ridge,12234.000000000000000,12966.000000000000000,27757.000000000000000,1067689100.000000000000000
Wal Street/Pier 11,31661.000000000000000,238205.000000000000000,68376.000000000000000,6708263799.999999046325684
Soundview/Classon Point,3843.000000000000000,743.000000000000000,11127.000000000000000,347929000.000000000000000
E 90th Street,53020.000000000000000,31010.000000000000000,117286.000000000000000,9868377199.999998092651367
Corlears Hook,17345.000000000000000,8763.000000000000000,45459.000000000000000,1280968200.000000000000000
E 34th Street,46698.000000000000000,232105.000000000000000,97410.000000000000000,9771161600.000000000000000
Stuyvesant Cove,43223.000000000000000,86401.000000000000000,99611.000000000000000,7486634200.000000000000000
Greenpoint,12110.000000000000000,41902.000000000000000,23882.000000000000000,1475485600.000000000000000
Long Island City,17365.000000000000000,52172.000000000000000,29901.000000000000000,2410131500.000000000000000
North Williamsburg,37442.000000000000000,30378.000000000000000,80302.000000000000000,5916945100.000000000000000
South Williamsburg,31292.000000000000000,42418.000000000000000,82717.000000000000000,3553238900.000000000000000
DUMBO/BBP Pier 1,39535.000000000000000,208834.000000000000000,88276.000000000000000,6577770100.000000000000000
Governor's Island (to BK),157.000000000000000,157.000000000000000,0.000000000000000,0.000000000000000
Midtown West,22958.000000000000000,82153.000000000000000,39484.000000000000000,3536394100.000000000000000
St.  George,9615.000000000000000,7146.000000000000000,23614.000000000000000,701282700.000000000000000
Battery Park City,32431.000000000000000,233458.000000000000000,70646.000000000000000,9771823500.000000000000000
Throgs Neck/Ferry Point Park,1553.000000000000000,6400.000000000000000,3692.000000000000000,48249100.000000000000000
