stop,total_boardings,commute_boardings,noncommute_boardings,weekday_boardings,weekend_boardings
Astoria,219947,92475,127472,147234,72713
Atlantic Ave/BBP Pier 6,104237,34280,69957,65558,38679
Battery Park City/Vesey St.,97374,37851,59523,71697,25677
Bay Ridge,94444,21695,72749,53400,41044
Brooklyn Navy Yard,115462,59086,56376,91042,24420
Corlears Hook,33060,8308,24752,17819,15241
Dumbo/BBP Pier 1,0,0,0,0,0
Dumbo/Fulton Ferry,568965,140806,428159,339248,229717
East 34th Street,777838,294021,483817,560509,217329
East 90th St,320764,111469,209295,203888,116876
Ferry Point Park,78838,34937,43901,55740,23098
Gov. Island/Yankee Pier,80925,15481,65444,39097,41828
Governors Island,0,0,0,0,0
Greenpoint,14606,7693,6913,11683,2923
Hunters Point South,240975,82766,158209,153959,87016
Long Island City,222747,84233,138514,145895,76852
Midtown West/W 39th St-Pier 79,129612,49406,80206,92323,37289
North Williamsburg,421370,154726,266644,273142,148228
Red Hook/Atlantic Basin,85435,26932,58503,52775,32660
Rockaway,306923,99015,207908,180337,126586
Roosevelt Island,166905,52849,114056,103690,63215
Soundview,169385,81897,87488,129129,40256
South Williamsburg,173089,62531,110558,123477,49612
St. George,171981,71321,100660,122613,49368
Stuyvesant Cove,71650,30154,41496,50083,21567
Sunset Park/BAT,128089,44811,83278,87649,40440
Wall St/Pier 11,1297026,410346,886680,815005,482021
